V00_hist_seq
	GMS	TY_total	TY_MCA		NT_BC
# initial for Oct, from AOP2018 HYSIM study
1940	459564	186727	95207	25136
1996	721	478	333	255	297	359	602	2502	3986	3313	1881	1306
1997	1373	646	395	289	337	397	754	2908	2364	2206	1476	895
1998	403	311	291	279	264	331	712	1706	3584	3495	2666	1035
1999	563	915	480	325	291	332	706	1771	3016	3283	1715	984


Q_reservoir_hist_seq_GMS
	13	14	15	16	17	18	19	20	21	22	23	24
1940	755	343	214	262	293	319	1180	2124	3025	1266	594	619
1941	829	923	367	299	221	212	552	3052	2878	1189	695	358
1942	452	358	229	316	191	166	520	1374	3078	1710	749	598
1943	323	370	315	266	186	212	591	1892	2515	1080	823	585
1944	897	664	431	430	364	296	351	2715	2804	1337	662	511
1945	559	415	287	191	167	169	264	2985	2836	1380	882	595
1946	576	449	355	349	295	366	852	2395	3267	1492	971	902
1947	810	625	550	491	379	347	400	3598	3254	1241	970	1038
1948	851	700	491	239	209	255	436	1966	2991	2103	1034	855
1949	784	965	454	253	196	187	330	1887	4543	1418	895	665
1950	510	404	298	249	199	209	268	3514	3235	2165	881	448
1951	323	315	266	189	152	144	204	2464	3947	2553	921	674
1952	769	376	238	225	198	189	271	3350	3043	1761	952	694
1953	1102	877	307	199	240	238	258	2277	5439	2884	1466	966
1954	1009	875	539	291	225	202	252	1071	3833	3021	1116	554
1955	648	252	189	172	164	164	161	1965	3508	1973	739	625
1956	482	435	271	215	171	156	248	3662	3172	2169	2056	1119
1957	574	529	350	310	207	222	575	2986	3135	1101	530	561
1958	838	487	238	231	221	206	350	2286	4393	2321	926	1223
1959	831	554	445	286	253	247	565	2271	3819	2855	1289	889
1960	1091	693	312	297	284	258	603	3177	4199	1482	602	768
1961	939	584	235	251	212	209	479	1555	3795	2771	1603	843
1962	877	1027	486	241	321	262	664	2368	3384	2318	1042	839
1963	946	475	374	318	290	241	372	1708	6707	2874	1950	910
1964	1158	776	349	321	307	302	388	1668	3875	2139	876	704
1965	1080	635	274	254	247	231	481	2237	3999	2660	1253	1079
1966	777	543	353	303	255	202	257	2236	5181	1802	865	653
1967	1132	571	367	295	318	347	522	2756	4920	2052	939	799
1968	881	623	373	208	172	183	508	2146	2963	922	992	1217
1969	833	600	426	241	216	219	370	1795	3971	1278	849	742
1970	604	319	200	195	188	182	377	2181	3769	1908	801	1046
1971	800	503	277	202	175	230	422	3126	5592	2259	1362	639
1972	636	455	359	266	252	255	386	2791	4114	2179	761	855
1973	575	279	344	204	216	266	597	2076	3780	3128	1516	845
1974	1379	543	420	304	264	253	295	1739	3053	1866	1122	563
1975	450	352	191	284	254	242	410	2797	4197	3357	1870	951
1976	757	529	396	288	261	242	654	2641	3326	2325	1111	724
1977	744	484	349	250	220	206	468	1456	2896	945	716	684
1978	845	615	352	264	225	230	333	2000	3967	2411	811	724
1979	593	279	204	207	178	167	500	1867	2223	1444	802	1094
1980	1018	774	422	494	352	321	508	3868	3632	1751	778	613
1981	549	556	349	287	233	242	259	1916	4414	2033	1109	966
1982	852	611	348	284	271	234	662	2155	3035	2207	1085	832
1983	617	589	296	347	254	269	576	1699	4190	2437	1226	1197
1984	1250	478	341	448	283	257	380	2237	3269	2194	746	858
1985	686	376	273	272	209	234	407	1674	4084	2374	780	496
1986	810	545	364	294	267	285	568	2792	4333	2194	1071	963
1987	819	699	423	318	310	308	779	3630	3710	1999	1107	586
1988	684	543	375	308	245	261	622	2878	2832	1331	876	568
1989	675	615	479	405	285	292	680	3139	5062	1558	582	427
1990	394	346	315	254	303	247	767	3170	2953	1483	728	959
1991	1121	777	469	428	298	483	1391	2605	4841	1426	497	906
1992	1361	663	370	288	270	248	710	3518	2396	1532	1107	614
1993	511	517	354	342	305	352	946	3093	3117	1792	872	1092
1994	848	525	357	303	280	283	710	2979	2431	1770	1040	659
1995	649	419	356	343	307	342	959	2094	5058	3517	1445	1098
1996	1065	552	408	345	325	320	762	3624	4745	2029	1164	948
1997	1138	731	394	343	347	379	699	3798	2056	998	616	486
1998	847	459	353	336	323	345	870	2264	4772	2129	909	616
1999	507	492	380	327	228	212	466	1591	3991	2222	1170	1329

Q_reservoir_hist_seq_PCN
	13	14	15	16	17	18	19	20	21	22	23	24
1940	10	5	3	3	3	3	11	32	40	19	7	11
1941	20	10	6	4	3	2	5	29	43	21	9	6
1942	9	4	4	3	2	1	9	28	43	28	13	8
1943	9	4	2	1	1	1	7	28	39	17	12	10
1944	12	7	3	2	2	1	2	28	40	16	6	5
1945	6	3	2	2	1	1	3	42	49	24	10	5
1946	6	2	2	1	1	2	8	42	55	28	10	8
1947	11	6	2	1	1	1	2	51	67	24	16	13
1948	13	6	2	1	1	1	9	44	46	20	12	7
1949	9	8	4	2	2	2	2	34	51	22	8	6
1950	6	8	3	2	2	2	4	41	29	18	6	3
1951	6	4	2	2	1	1	5	39	37	18	7	7
1952	8	4	1	2	2	2	4	42	39	18	8	9
1953	12	9	4	3	4	3	3	44	62	36	15	11
1954	16	17	7	3	2	2	2	30	53	32	16	5
1955	7	4	2	2	1	1	5	36	45	17	7	6
1956	9	7	3	3	2	2	4	63	48	22	15	9
1957	7	11	8	3	3	3	8	39	38	11	5	10
1958	16	4	2	3	2	2	4	40	50	23	10	17
1959	14	11	4	3	3	2	8	36	50	35	13	13
1960	18	8	4	4	4	3	6	46	39	14	5	9
1961	16	10	4	3	4	3	8	35	46	28	13	6
1962	14	12	6	5	4	4	16	49	47	16	6	7
1963	10	3	3	3	3	2	4	37	94	43	35	14
1964	16	8	4	4	5	5	11	33	54	45	8	6
1965	23	8	3	2	2	2	8	46	39	28	13	10
1966	10	8	4	3	2	2	3	51	85	20	8	6
1967	13	6	4	2	3	5	6	43	67	24	9	8
1968	12	11	4	2	1	1	4	35	28	9	8	19
1969	9	7	4	3	2	2	4	29	43	12	9	8
1970	6	4	2	2	2	2	6	36	53	35	7	9
1971	14	5	3	2	1	4	5	56	84	27	10	6
1972	18	8	5	3	3	4	9	51	51	18	8	10
1973	9	5	3	2	2	3	10	41	56	27	9	7
1974	17	4	3	2	2	2	3	29	51	24	8	6
1975	4	6	4	3	2	2	6	52	62	40	35	11
1976	9	6	4	3	4	4	13	44	40	23	11	11
1977	13	6	3	2	2	2	5	27	30	12	8	8
1978	10	16	4	2	1	2	5	37	60	18	6	5
1979	6	4	2	1	1	1	5	28	35	16	9	13
1980	10	8	5	4	4	5	7	56	34	12	7	4
1981	5	9	3	2	1	1	2	31	53	41	16	12
1982	11	7	3	2	2	2	8	34	32	38	9	9
1983	9	8	3	3	3	3	6	24	44	17	7	13
1984	21	7	3	2	2	2	5	36	38	13	7	14
1985	10	5	3	2	2	3	6	35	51	24	7	4
1986	7	4	3	3	3	2	9	49	46	15	25	6
1987	5	11	3	2	2	2	9	37	34	12	7	4
1988	7	5	4	3	2	2	6	41	39	15	12	6
1989	7	13	10	4	2	3	10	46	79	18	6	3
1990	4	4	3	2	2	2	15	52	45	17	8	7
1991	12	4	4	3	3	8	21	31	36	9	4	11
1992	17	5	2	1	2	2	5	32	14	17	10	5
1993	5	7	3	2	2	3	19	47	42	18	7	6
1994	7	5	3	2	2	3	7	47	32	17	10	5
1995	6	4	3	2	2	2	12	28	53	31	13	12
1996	13	4	3	2	2	3	11	57	70	28	12	8
1997	23	11	3	1	1	1	3	66	16	6	2	2
1998	5	3	2	1	1	1	5	28	72	17	6	2
1999	3	2	2	1	1	1	1	9	52	21	7	17

Q_reservoir_hist_seq_MCA
	13	14	15	16	17	18	19	20	21	22	23	24
1940	519	195	142	99	94	108	382	772	1369	1515	1103	575
1941	390	230	169	103	86	86	188	764	1337	1727	1227	526
1942	306	148	112	81	83	84	373	543	1108	1790	1166	515
1943	312	147	92	76	86	87	177	683	1382	1211	1048	691
1944	358	223	129	108	104	97	101	618	1352	1390	994	513
1945	256	136	104	76	76	85	192	1252	1866	1673	1116	593
1946	241	133	134	126	106	104	291	1079	1722	1687	928	591
1947	448	221	139	109	87	80	157	1104	2303	1334	1183	612
1948	323	194	116	79	68	80	198	947	1110	1065	919	484
1949	225	176	114	69	67	83	134	502	1887	2084	1125	649
1950	273	175	132	113	100	99	190	1032	1351	1936	1056	467
1951	296	150	92	76	72	75	238	965	1495	1525	1066	478
1952	289	126	91	89	86	85	113	726	1506	1575	1081	586
1953	355	248	138	103	108	98	114	801	1697	2320	1396	812
1954	331	260	174	116	102	99	136	418	1669	1988	1091	596
1955	254	156	125	103	76	86	240	992	1849	1612	1074	547
1956	310	162	119	93	94	96	161	1503	1593	1250	795	543
1957	290	157	114	106	101	102	175	1183	1938	1353	1079	546
1958	332	168	131	114	98	90	177	760	1740	1965	1052	745
1959	377	227	170	119	109	110	256	510	1366	1942	1081	597
1960	347	222	129	122	110	110	178	1008	2391	1426	1162	499
1961	359	175	130	103	117	88	268	696	1499	1554	1193	528
1962	309	241	155	124	140	131	249	714	1662	1554	1133	765
1963	354	186	131	112	95	84	148	522	1739	1887	1006	536
1964	424	247	136	116	111	100	240	676	1585	1697	1392	418
1965	352	265	165	122	119	128	305	916	1577	1775	1185	652
1966	362	215	152	126	113	100	151	670	2489	2160	1360	831
1967	379	229	116	111	114	129	135	700	1698	1992	1112	684
1968	325	211	130	79	87	97	315	1041	1999	1337	977	571
1969	328	203	119	96	96	85	117	535	1708	1423	1032	420
1970	224	116	86	88	93	80	177	993	1695	1431	1351	575
